"","ph1","bc1a","bc1","bc2","bc3","pph1","pph2a","pph2b","pph2c","el1","el9","el11","el13a","el13b","el13c","el13d","el13e","el14","el15","el16","el17a","el17b","el17c","el17d","el17e","el17f","ih1","mh4","es1a","es1b","es2","es3","SAMP_WEIGHT","POP_WEIGHT","leave_type","leave_weeks","unpaid_leave_weeks","pct_unpaid","partner","education","race","job_type","unemploy_reason","zipcode","d4_2","bf1_1"
"11",3,6,1,1,2,1,NA,NA,NA,1,1,"3",0,6,77,77,77,2,1,NA,2,2,2,2,1,1,3,3,4,4,2,12,0.939657525344752,95.7831898553678,"Both",28,NA,NA,"Co-parent","Four year college or higher","White","Government",NA,"10025",NA,"Months"
"12",3,5,1,1,2,1,NA,NA,NA,1,1,"1",4,0,6,0,0,1,1,NA,2,2,2,2,2,2,2,3,4,4,2,12,1.49220093567392,152.106231971669,"Paid",6,0,0,"Co-parent","High school degree/GED","Black/African American","Private",NA,"11418",NA,"Never"
"13",3,2,1,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,4,2,3,2.20004884727847,224.260106204804,NA,NA,NA,NA,"Co-parent","High school degree/GED","White",NA,NA,"11369",NA,"Months"
"14",1,3,2,2,3,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,2,2,10,NA,NA,NA,NA,NA,NA,1,1,4,4,2,12,0.487755862489625,49.7189785850666,"Unpaid",24,NA,NA,"Co-parent","Four year college or higher","Black/African American","Private","other","10801",NA,"Months"
"15",2,9,1,2,3,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,4,2,10,1.56715542905183,159.746654440583,NA,NA,NA,NA,"Co-parent","Some college or technical school","White",NA,NA,"11385",NA,"Never"
"16",4,3,1,1,5,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,1,1,NA,2,1,2,1,2,2,4,4,3,4,1,1,0.808315308232055,82.3949327740287,"Unpaid",12,NA,NA,"Single Parent","Some college or technical school","Other","Private",NA,"10452",NA,"Months"
"17",1,8,1,1,2,1,NA,NA,NA,1,1,"1",0,12,12,0,0,2,1,NA,2,2,2,2,2,2,1,2,1,1,1,2,0.693731243389108,70.714903677018,"Paid",6,0,0,"Co-parent","High school degree/GED","Black/African American","Private",NA,"10474",NA,"Never"
"18",1,2,1,2,3,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,1,1,NA,1,2,1,2,2,1,1,1,4,4,2,12,1.21739959035634,124.09459079271,"Unpaid",12,NA,NA,"Co-parent","Four year college or higher","Asian","Self-employed",NA,"10021",NA,"Months"
"19",2,4,1,1,3,1,NA,NA,NA,1,1,"1",12,6,12,0,2,2,1,NA,2,2,2,2,1,2,1,3,4,4,2,12,0.720958035373122,73.4902435379962,"Paid",12,0,0,"Co-parent","Four year college or higher","White","Private",NA,"80111",NA,"Months"
"20",3,12,1,1,3,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,1,1,NA,1,1,1,2,77,77,1,4,2,2,1,5,0.455621915241301,46.4434320299966,"Unpaid",12,NA,NA,"Co-parent","Some college or technical school","White","Private",NA,"11001",NA,"Months"
"21",1,3,1,2,3,1,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,4,1,1,1.17665286794981,119.941108334496,NA,NA,NA,NA,"Co-parent","Some college or technical school","Hispanic",NA,NA,"10454",NA,"Months"
"22",1,4,1,2,3,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,4,2,3,3.65303732831609,372.369249997195,NA,NA,NA,NA,"Co-parent","Four year college or higher","Asian",NA,NA,"11366",NA,"Months"
"23",3,11,1,2,3,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,4,2,11,1.7667735563176,180.09455829572,NA,NA,NA,NA,"Co-parent","Some college or technical school","Black/African American",NA,NA,"10467",NA,"Months"
"24",1,8,1,2,3,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,4,1,2,1.67954258508148,171.20274350808,NA,NA,NA,NA,"Co-parent","High school degree/GED","White",NA,NA,"10314",NA,"Months"
"25",3,5,1,2,3,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,1,1,1,1.5926602974509,162.346471486914,NA,NA,NA,NA,"Co-parent","Some college or technical school","Black/African American",NA,NA,"11412",NA,"Months"
"26",1,4,1,1,2,1,NA,NA,NA,1,1,"1",12,0,0,0,0,1,1,NA,2,1,2,2,2,1,1,1,4,4,2,12,0.853754642769328,87.0267526546691,"Paid",12,0,0,"Co-parent","Four year college or higher","White","Private",NA,"11215",NA,"Months"
"27",1,5,1,1,2,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,2,1,NA,1,2,1,2,1,2,2,3,3,3,2,3,0.757546389175473,77.2198462328293,"Unpaid",5,NA,NA,"Single Parent","Some college or technical school","Black/African American","Private",NA,"07305",NA,"Never"
"28",1,2,2,2,3,1,NA,NA,NA,1,1,"1",8,0,0,0,0,1,1,NA,1,2,2,2,2,77,1,1,4,4,2,12,0.275607247773807,28.0937901597165,"Paid",8,0,0,"Co-parent","Four year college or higher","Black/African American","Government",NA,"10029",NA,"Months"
"29",3,7,1,2,3,1,NA,NA,NA,1,1,"1",7,0,12,0,0,1,1,NA,1,2,2,2,2,1,1,1,4,4,2,99,0.720958035373122,73.4902435379962,"Paid",15,0,0,"Co-parent","Four year college or higher","White","Government",NA,"11530",NA,"Months"
"30",3,11,1,2,4,1,NA,NA,NA,1,1,"3",1,2,0,8,0,3,1,NA,1,1,2,1,1,1,3,3,4,4,2,99,1.22509315678393,124.878827936482,"Both",12,8,67,"Co-parent","Four year college or higher","Asian","Private",NA,"11232",NA,"Less than 1 Week"
"31",2,10,1,1,2,1,NA,NA,NA,1,1,"3",0,6,6,6,6,2,1,NA,1,2,2,1,2,2,2,2,4,4,2,1,0.450091937972882,45.8797385051642,"Both",12,6,50,"Co-parent","Four year college or higher","Native Hawaiian/OPI","Government",NA,"11236",NA,"Months"
"32",2,4,1,1,6,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,4,2,10,1.56004961517948,159.02232935314,NA,NA,NA,NA,"Co-parent","Some college or technical school","Black/African American",NA,NA,"11212",NA,"Months"
"33",1,4,1,1,2,1,NA,NA,NA,1,2,"3",2,0,0,3,0,1,1,NA,1,2,2,1,2,1,1,3,4,4,2,12,0.802565360193506,81.8088167160183,"Both",6,3,50,"Co-parent","Four year college or higher","Black/African American","Non-profit",NA,"11213",NA,"Never"
"34",2,6,1,1,2,1,NA,NA,NA,1,1,"3",0,0,0,8,0,2,1,NA,1,2,2,2,1,2,1,2,2,4,2,6,0.612900269461642,62.4754671663082,"Both",16,8,50,"Co-parent","No high school degree","Other","Self-employed",NA,"10310",NA,"Months"
"35",1,7,1,1,2,1,NA,NA,NA,1,2,"4",NA,NA,NA,NA,NA,NA,4,NA,2,2,1,2,2,2,1,1,3,4,2,7,0.540291180279566,55.0741214773026,"Did not take time off",NA,NA,NA,"Co-parent","Four year college or higher","White","Private",NA,"11230",NA,"Months"
"36",1,10,1,1,2,1,NA,NA,NA,1,2,"2",NA,NA,NA,NA,NA,1,1,NA,1,2,1,2,2,2,1,2,4,4,2,99,0.540291180279566,55.0741214773026,"Unpaid",2,NA,NA,"Co-parent","Four year college or higher","White","Government",NA,"11230",NA,"Months"
"37",1,6,1,1,2,1,NA,NA,NA,1,2,"1",6,3,0,0,0,2,1,NA,1,1,1,1,2,2,2,2,4,4,2,11,0.581443828956421,59.2689816842915,"Paid",8,0,0,"Co-parent","Four year college or higher","White","Self-employed",NA,"10970",NA,"Months"
"38",2,2,1,2,3,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,2,4,1,4,2,12,0.885519387946263,90.2646649109175,"Unpaid",NA,NA,NA,"Co-parent","Some college or technical school","Hispanic","Private","Chose to stay-at-home","10462",NA,"Months"
"39",5,8,2,2,5,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,4,2,1,2.21019893497858,225.294746753094,NA,NA,NA,NA,"Single Parent","No high school degree","Black/African American",NA,NA,"10472",NA,"Never"
"40",2,12,1,2,3,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,2,1,NA,1,1,2,1,1,1,1,3,4,4,2,77,1.23053612768972,125.433652541813,"Unpaid",16,NA,NA,"Co-parent","Four year college or higher","White","Private",NA,"10023",NA,"Weeks"
"41",2,7,1,1,2,1,NA,NA,NA,1,1,"1",6,0,6,0,0,1,1,NA,1,2,2,2,2,1,1,2,4,4,2,12,0.720958035373122,73.4902435379962,"Paid",12,0,0,"Co-parent","Four year college or higher","White","Private",NA,"10009",NA,"Months"
"42",3,2,1,1,3,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,4,2,12,1.0736236532485,109.43891304929,NA,NA,NA,NA,"Single Parent","Some college or technical school","Other",NA,NA,"10471",NA,"Months"
"43",3,9,1,1,2,1,NA,NA,NA,1,1,"3",0,3,6,77,0,2,1,NA,2,2,2,1,1,2,1,4,4,4,2,1,0.834603479740858,85.0745951559741,"Both",12,NA,NA,"Co-parent","High school degree/GED","Black/African American","Government",NA,"10453",NA,"Months"
"44",2,12,1,1,3,1,NA,NA,NA,1,2,"2",NA,NA,NA,NA,NA,3,2,10,NA,NA,NA,NA,NA,NA,2,2,4,4,2,1,0.478037729637389,48.728368986443,"Unpaid",12,NA,NA,"Co-parent","Some college or technical school","Other","Private","other","11370",NA,"Months"
"45",1,9,2,2,3,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,2,1,NA,1,2,1,1,1,2,4,1,3,4,2,77,0.531332229418393,54.1608984485978,"Unpaid",8,NA,NA,"Co-parent","High school degree/GED","White","Private",NA,"11249",NA,"Months"
"46",1,1,1,1,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,4,2,12,3.65303732831609,372.369249997195,NA,NA,NA,NA,"Co-parent","Four year college or higher","White",NA,NA,"10014",NA,"Never"
"47",3,1,1,1,2,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,2,1,1,3,3,3,1,4,0.57126084065409,58.2309874411238,"Unpaid",12,NA,NA,"Single Parent","Some college or technical school","Other","Private",NA,"07014",NA,"Months"
"48",1,9,1,1,2,1,NA,NA,NA,1,2,"77",NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1,1,4,4,2,99,0.793413894957552,80.8759698984201,NA,NA,NA,NA,"Co-parent","Four year college or higher","White","Private","Fired related to pregnancy or maternity leave","10016",NA,"Months"
"49",2,2,1,2,3,1,NA,NA,NA,1,1,"77",NA,NA,NA,NA,NA,NA,1,NA,1,2,77,1,1,2,2,2,4,4,2,6,1.05035608573576,107.067153364048,NA,NA,NA,NA,"Single Parent","High school degree/GED","Asian","Private",NA,"11228",NA,"don't know"
"50",1,2,1,1,3,1,NA,NA,NA,1,1,"3",0,0,12,12,0,2,1,NA,1,2,2,2,1,1,1,1,4,4,2,12,0.554168519277806,56.4886962134204,"Both",24,12,50,"Co-parent","Four year college or higher","White","Non-profit",NA,"11231",NA,"Months"
"51",2,9,1,1,2,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,1,1,NA,1,1,1,2,2,2,1,2,3,4,2,99,0.581443828956421,59.2689816842915,"Unpaid",6,NA,NA,"Co-parent","Four year college or higher","White","Non-profit",NA,"11219",NA,"Months"
"52",1,3,1,1,3,1,NA,NA,NA,1,1,"3",0,6,0,4,0,1,1,NA,1,1,2,2,2,2,1,3,4,4,2,5,0.885519387946263,90.2646649109175,"Both",10,4,40,"Single Parent","Some college or technical school","Other","Private",NA,"10451",NA,"Months"
"53",4,12,1,2,3,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,2,1,NA,1,1,2,2,1,1,2,3,2,2,2,2,0.347206040588242,35.3921521486167,"Unpaid",12,NA,NA,"Co-parent","High school degree/GED","Hispanic","Non-profit",NA,"10031",NA,"Never"
"54",2,11,1,1,6,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,99,2,2,NA,NA,NA,NA,NA,NA,2,3,4,4,2,12,0.581443828956421,59.2689816842915,"Unpaid",16,NA,NA,"Co-parent","Four year college or higher","White","Private","Chose to stay-at-home","12533",NA,"Still breastfeeding"
"55",1,11,1,1,4,1,NA,NA,NA,1,1,"3",2,8,0,0,0,1,1,NA,1,2,2,1,1,1,1,3,4,4,1,12,0.551662817034993,56.2332795885641,"Both",10,0,0,"Co-parent","Four year college or higher","White","Government",NA,"11366",NA,"Months"
"56",3,12,1,1,3,1,NA,NA,NA,1,1,"3",0,5,5,7,0,1,2,3,NA,NA,NA,NA,NA,NA,1,3,4,4,2,11,0.590621912521809,60.2045418186389,"Both",12,7,58,"Co-parent","Four year college or higher","White","Private","Not enough flexibility","11214",NA,"Still breastfeeding"
"57",3,2,1,2,3,1,NA,NA,NA,1,1,"1",0,36,36,1,0,2,1,NA,2,2,2,2,2,2,2,3,3,4,2,1,0.640359311999047,65.2744812897166,"Paid",12,1,8,"Single Parent","Some college or technical school","Black/African American","Private",NA,"11208",NA,"Months"
"58",1,7,1,1,2,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,1,1,NA,1,2,1,1,1,99,2,3,3,4,1,1,0.531332229418393,54.1608984485978,"Unpaid",6,NA,NA,"Co-parent","High school degree/GED","White",NA,NA,"11205",NA,"Months"
"59",1,11,1,1,3,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,4,2,77,3.65303732831609,372.369249997195,NA,NA,NA,NA,"Co-parent","No high school degree","Asian",NA,NA,"10033",NA,"Never"
"60",1,1,1,1,2,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,1,1,NA,1,2,1,1,2,2,1,2,4,4,2,6,0.678486788950031,69.1609731923514,"Unpaid",12,NA,NA,"Single Parent","Some college or technical school","Black/African American","Private",NA,"11221",NA,"Months"
"61",1,9,1,1,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,4,1,6,0.47679409559685,48.601600209306,NA,NA,NA,NA,"Co-parent","Some college or technical school","Black/African American",NA,NA,"11234",NA,"Months"
"62",1,5,1,1,4,1,NA,NA,NA,1,1,"1",8,0,8,0,0,1,1,NA,1,1,2,2,2,1,3,2,3,4,2,3,0.316888777951177,32.3017877927354,"Paid",8,0,0,"Co-parent","High school degree/GED","Black/African American","Private",NA,"10033",NA,"Months"
"63",2,11,1,1,2,1,NA,NA,NA,1,1,"1",0,4,6,0,0,1,1,NA,1,1,2,1,1,2,2,3,4,4,2,2,0.974845811137048,99.3700778095635,"Paid",12,0,0,"Co-parent","High school degree/GED","White","Private",NA,"10303",NA,"Never"
"64",4,3,1,1,2,1,NA,NA,NA,1,1,"1",0,6,0,0,0,1,1,NA,1,1,1,1,2,2,1,1,4,4,2,99,0.698480299408574,71.1989946591867,"Paid",6,0,0,"Co-parent","Some college or technical school","White","Private",NA,"10310",NA,"Months"
"65",3,6,1,1,2,1,NA,NA,NA,1,2,"2",NA,NA,NA,NA,NA,1,1,NA,2,2,2,1,1,2,2,2,2,4,2,3,0.480836548350631,49.0136641891636,"Unpaid",8,NA,NA,"Co-parent","High school degree/GED","Other","Private",NA,"11220",NA,"Weeks"
"66",1,9,1,1,2,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,1,1,NA,1,2,2,2,1,2,1,1,3,4,2,2,0.568457391569837,57.9452202454763,"Unpaid",6,NA,NA,"Co-parent","High school degree/GED","White","Private",NA,"11249",NA,"Months"
"67",4,12,1,1,3,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,4,1,3,1.18801121386275,121.098911655044,NA,NA,NA,NA,"Co-parent","High school degree/GED","White",NA,NA,"11229",NA,"Months"
"68",2,2,1,1,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,2,12,1.06815659863439,108.881633491654,NA,NA,NA,NA,"Co-parent","Four year college or higher","Asian",NA,NA,"11206",NA,"Weeks"
"69",2,10,1,1,6,1,NA,NA,NA,1,1,"4",NA,NA,NA,NA,NA,NA,1,NA,1,1,1,2,2,2,2,2,3,4,2,1,2.22524568523639,226.828524430361,"Did not take time off",NA,NA,NA,"Co-parent","Some college or technical school","Black/African American","Self-employed",NA,"35124",NA,"Still breastfeeding"
"70",3,12,1,2,3,1,NA,NA,NA,1,1,"1",0,0,3,5,0,2,1,NA,2,2,2,2,1,2,4,4,4,4,2,8,0.361875721735438,36.8874936071167,"Paid",8,5,62,"Co-parent","No high school degree","Other","Private",NA,"11207",NA,"Months"
"71",1,4,1,1,2,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,1,1,NA,1,1,1,2,2,2,1,1,3,4,2,6,0.571795585552812,58.2854962071124,"Unpaid",2,NA,NA,"Co-parent","High school degree/GED","White","Self-employed",NA,"11218",NA,"Months"
"72",1,1,1,1,1,1,NA,NA,NA,1,1,"3",77,77,12,4,0,2,1,NA,2,2,1,2,1,1,1,1,4,4,2,12,0.793413894957552,80.8759698984201,"Both",16,4,25,"Co-parent","Four year college or higher","White","Private",NA,"10026",NA,"Months"
"73",2,6,1,1,6,1,NA,NA,NA,1,1,"4",NA,NA,NA,NA,NA,NA,1,NA,1,2,2,2,1,2,2,2,3,4,1,77,0.531332229418393,54.1608984485978,"Did not take time off",NA,NA,NA,"Co-parent","High school degree/GED","White","Self-employed",NA,"11219",NA,"Months"
"74",3,10,1,2,3,1,NA,NA,NA,1,1,"1",5,1,8,4,0,1,1,NA,1,1,2,1,2,1,2,4,4,4,2,4,0.841352464896357,85.7625472119564,"Paid",24,4,17,"Co-parent","Four year college or higher","Black/African American","Non-profit",NA,"11436",NA,"Months"
"75",1,11,1,1,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,4,2,77,3.05990405811266,311.90871507136,NA,NA,NA,NA,"Co-parent","High school degree/GED","American Indian/AN",NA,NA,"10208",NA,"Months"
"76",2,6,1,1,2,1,NA,NA,NA,1,1,"3",6,0,6,77,0,1,1,NA,1,1,1,1,1,1,2,2,4,4,2,6,0.592706619649448,60.4170446648501,"Both",36,NA,NA,"Co-parent","Four year college or higher","Black/African American","Private",NA,"10033",NA,"Months"
"77",3,2,1,1,3,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,4,2,77,0.571795585552812,58.2854962071124,NA,NA,NA,NA,"Co-parent","High school degree/GED","White",NA,NA,"11213",NA,"Months"
"78",2,4,1,2,3,1,NA,NA,NA,1,1,"3",0,0,12,2,0,2,1,NA,1,2,2,2,1,1,1,1,4,4,2,12,1.04321476664343,106.339209082234,"Both",12,2,17,"Co-parent","Four year college or higher","American Indian/AN","Private",NA,"10468",NA,"Months"
"79",1,9,1,1,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,4,2,7,2.11296878285188,215.383673974317,NA,NA,NA,NA,"Co-parent","High school degree/GED","White",NA,NA,"11219",NA,"Still breastfeeding"
"80",1,10,1,1,1,1,NA,NA,NA,1,1,"1",0,0,16,0,0,2,1,NA,2,2,2,2,1,2,1,1,4,4,2,12,0.793413894957552,80.8759698984201,"Paid",16,0,0,"Co-parent","Four year college or higher","White","Private",NA,"10280",NA,"Months"
"81",1,9,1,1,3,1,NA,NA,NA,1,1,"3",6,0,6,6,4,1,1,NA,2,2,2,2,2,1,1,2,4,4,2,12,0.639025616794994,65.1385322045516,"Both",12,6,50,"Co-parent","Four year college or higher","White","Private",NA,"29707",NA,"Still breastfeeding"
"82",3,12,1,1,5,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,1,1,2.37532849948658,242.12708832584,NA,NA,NA,NA,"Co-parent","Some college or technical school","Black/African American",NA,NA,"11208",NA,"Weeks"
"83",3,4,1,2,3,1,NA,NA,NA,1,1,"77",NA,NA,NA,NA,NA,NA,1,NA,2,2,2,2,1,2,1,4,4,4,2,77,1.42119242050637,144.868039432162,NA,NA,NA,NA,"Co-parent","No high school degree","Asian","Private",NA,"11235",NA,"Never"
"84",1,2,1,1,3,1,NA,NA,NA,1,2,"4",NA,NA,NA,NA,NA,NA,2,7,NA,NA,NA,NA,NA,NA,1,1,2,4,2,6,0.940544884017619,95.8736420062212,"Did not take time off",NA,NA,NA,"Co-parent","Some college or technical school","Black/African American","Private","Currently a student","10453",NA,"Months"
"85",2,12,1,1,2,1,NA,NA,NA,1,1,"1",0,0,0,0,0,2,1,NA,2,1,2,2,1,2,3,3,4,4,2,12,3.51040292971806,357.829934009906,"Paid",12,0,0,"Co-parent","Four year college or higher","Asian","Private",NA,"11222",NA,"Months"
"86",3,10,1,2,3,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,4,2,6,0.545730473466685,55.6285711975128,NA,NA,NA,NA,"Co-parent","Some college or technical school","Black/African American",NA,NA,"11203",NA,"Still breastfeeding"
"87",4,2,1,1,3,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,1,2,2,1.05076716830047,107.109056715302,NA,NA,NA,NA,"Co-parent","Some college or technical school","Asian",NA,NA,"11358",NA,"Months"
"88",2,10,1,2,3,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,3,3,3,4,2,1,0.337076819839773,34.359638655276,"Unpaid",48,NA,NA,"Co-parent","High school degree/GED","White","Self-employed","Chose to stay-at-home","10034",NA,"Months"
"89",2,6,1,2,4,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,2,1,1,2,4,4,2,12,0.991021041663207,101.018886162237,"Unpaid",16,NA,NA,"Co-parent","Four year college or higher","White","Private",NA,"10306",3,"Months"
"90",2,6,1,1,3,2,2,2,1,1,2,"2",NA,NA,NA,NA,NA,3,4,NA,2,2,2,2,1,2,1,2,3,3,2,1,1.62962900573938,166.114845292471,"Unpaid",48,NA,NA,"Single Parent","No high school degree","Black/African American","Private",NA,"11691",NA,"Less than 1 Week"
"91",4,9,1,1,3,1,NA,NA,NA,1,1,"3",2,12,0,0,0,1,4,NA,2,1,1,2,1,2,1,4,3,2,1,1,0.617920763771656,62.9872269795311,"Both",12,0,0,"Co-parent","High school degree/GED","Other","Private",NA,"10452",NA,"Months"
"92",1,8,1,1,3,1,NA,NA,NA,1,1,"3",0,6,0,25,0,1,1,NA,1,1,1,2,2,2,1,1,4,4,2,12,0.665684681004034,67.8560012181309,"Both",24,25,104,"Co-parent","Four year college or higher","White","Private",NA,"11234",NA,"Months"
"93",2,9,1,1,1,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,1,1,NA,1,2,1,1,1,2,4,4,2,2,2,3,0.764819771396835,77.9612522572675,"Unpaid",8,NA,NA,"Single Parent","Some college or technical school","Black/African American","Private",NA,"11205",NA,"Months"
"94",2,2,1,1,2,1,NA,NA,NA,1,1,"3",6,2,6,12,0,1,2,2,NA,NA,NA,NA,NA,NA,1,2,4,4,2,12,0.581443828956421,59.2689816842915,"Both",20,12,60,"Co-parent","Four year college or higher","White","Private","Chose to stay-at-home","11218",NA,"Months"
